Printed on: 2013-10-8 13:10:33 
Date	Part number	Serial number	Status	Wave.	Fiber	IL	Refl.	IL A	Refl.A	IL B	Refl.B 
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	7	n/a	n/a	0.17	-40.7	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	8	n/a	n/a	0.11	-41.2	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	9	n/a	n/a	0.23	-41.5	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	10	n/a	n/a	0.13	-41.4	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	11	n/a	n/a	0.11	-39.6	n/a	n/a
2013-10-7 11:02:25	MPO-MPO(APC)	2133800369-4	Passed	1300nm	12	n/a	n/a	0.12	-39.6	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	1	n/a	n/a	0.09	-39.9	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	2	n/a	n/a	0.06	-39.2	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	3	n/a	n/a	0.05	-41.5	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	4	n/a	n/a	0.09	-40.1	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	5	n/a	n/a	0.05	-36.1	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	6	n/a	n/a	0.07	-40.3	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	7	n/a	n/a	0.07	-39.5	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	8	n/a	n/a	0.04	-40.6	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	9	n/a	n/a	0.05	-40.6	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	10	n/a	n/a	0.04	-39.6	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	11	n/a	n/a	0.03	-38.7	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	850nm	12	n/a	n/a	0.04	-39.0	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	1	n/a	n/a	0.29	-41.2	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	2	n/a	n/a	0.11	-42.2	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	3	n/a	n/a	0.14	-41.6	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	4	n/a	n/a	0.30	-41.2	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	5	n/a	n/a	0.20	-36.6	n/a	n/a2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	6	n/a	n/a	0.21	-41.4	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	7	n/a	n/a	0.21	-40.3	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	8	n/a	n/a	0.19	-42.1	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	9	n/a	n/a	0.20	-41.6	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	10	n/a	n/a	0.11	-41.8	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	11	n/a	n/a	0.06	-39.5	n/a	n/a
2013-10-7 11:04:40	MPO-MPO(APC)	2133800369-1	Passed	1300nm	12	n/a	n/a	0.12	-39.9	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	1	n/a	n/a	0.06	-40.2	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	2	n/a	n/a	0.04	-40.0	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	3	n/a	n/a	0.04	-40.0	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	4	n/a	n/a	0.06	-41.0	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	5	n/a	n/a	0.01	-39.9	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	6	n/a	n/a	0.05	-40.6	n/a	n/a
2013-10-7 11:13:12	MPO-MPO(APC)	2133800371-1	Passed	850nm	7	n/a	n/a	0.05	-39.7	n/a	n/a
